Team,W,L,T,Win %,GB
Los Angeles Rams,1,0,0,1.0,0.0
San Francisco 49ers,1,0,0,1.0,0.0
Seattle Seahawks,1,0,0,1.0,0.0
Arizona Cardinals,0,0,1,0.0,0.5
