Team,W,L,T,Win %,GB
Dallas Cowboys,10,6,0,0.625,0.0
Philadelphia Eagles,9,7,0,0.562,1.0
Washington Redskins,7,9,0,0.438,3.0
New York Giants,5,11,0,0.312,5.0
