Team,W,L,T,Win %,GB
New Orleans Saints,13,3,0,0.812,0.0
Atlanta Falcons,7,9,0,0.438,6.0
Carolina Panthers,7,9,0,0.438,6.0
Tampa Bay Buccaneers,5,11,0,0.312,8.0
