Team,W,L,T,Win %,GB
Green Bay Packers,1,0,0,1.0,0.0
Minnesota Vikings,1,0,0,1.0,0.0
Detroit Lions,0,0,1,0.0,0.5
Chicago Bears,0,1,0,0.0,1.0
